marca=CHANA, modelo=Family 1.0 8V 53cv (Perua), ano=2005, renavam=44189535557, placa=HYW-4380, cor=Dourado
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=73463822990, placa=HWI-8989, cor=Bege
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=20462804032, placa=HUN-9559, cor=Laranja
marca=Daihatsu, modelo=Cuore TS/TSL, ano=1995, renavam=33274947389, placa=HUC-1595, cor=Branco
marca=Subaru, modelo=Impreza GL 4x4 2.0 16V, ano=1995, renavam=93419926186, placa=HVO-6806, cor=Amarelo
marca=Pontiac, modelo=Trans-Sport SE 3.1, ano=1991, renavam=78642125895, placa=HWA-8385, cor=Laranja
marca=Alfa Romeo, modelo=145 QV, ano=1996, renavam=10024418363, placa=HWB-3766, cor=Marrom
marca=Daihatsu, modelo=Charade TS/TSi 1.3/LSi 1.5 16V, ano=1994, renavam=67283803453, placa=HYY-3983, cor=Prata
marca=Gurgel, modelo=Carajas Diesel, ano=1985, renavam=36201205786, placa=HWK-5496, cor=Bege
marca=Toyota, modelo=Hilux 4x2 2.8 Diesel, ano=1997, renavam=07062507793, placa=HXO-6510, cor=Vermelho
marca=GM - Chevrolet, modelo=Celta Super 1.0 MPFI 8V FlexPower 5p, ano=2006, renavam=45955328764, placa=HVF-2451, cor=Branco
marca=SSANGYONG, modelo=Kyron 2.7 20V 165cv TDI Dies. Aut., ano=2007, renavam=73289828100, placa=HYN-8500, cor=Preto
marca=MG, modelo=550 1.8 16V Turbo 170cv Aut., ano=2010, renavam=85355423633, placa=HVV-7804, cor=Branco
marca=Isuzu, modelo=Rodeo 3.2 V6, ano=1992, renavam=21062333855, placa=HWC-3426, cor=Verde
marca=Maserati, modelo=Quattroporte Sport 4.2 32V 400cv/430cv, ano=2004, renavam=79593133883, placa=HXG-9990, cor=Marrom
marca=CHANGAN, modelo=MINI STAR CD 1.0 8V 53cv (Pick-Up), ano=2012, renavam=71630914884, placa=HXJ-5152, cor=Verde
marca=Toyota, modelo=Hilux CD SRV 4x2 2.7 16V 142cv, ano=2002, renavam=71630914884, placa=HXJ-5152, cor=Verde
marca=SHINERAY, modelo=X30 VAN 1.3 16V Mec., ano=2014, renavam=71630914884, placa=HXJ-5152, cor=Verde
marca=SSANGYONG, modelo=Musso GL 2.9 TB Diesel Int. 120cv, ano=2001, renavam=65833414369, placa=HVR-6989, cor=Azul
marca=Isuzu, modelo=Amigo 2.3 4x2/4x4, ano=1992, renavam=65321833621, placa=HVH-8482, cor=Vermelho
marca=CHANGAN, modelo=MINI STAR CE 1.0 8V 53cv (Pick-Up), ano=2011, renavam=25878851815, placa=HWQ-7275, cor=Prata
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=12229165587, placa=HWM-8202, cor=Laranja
marca=CBT Jipe, modelo=Javali 3.0 4x4 Diesel, ano=1988, renavam=56358220462, placa=HXQ-4018, cor=Marrom
marca=Gurgel, modelo=BR-800 (todos)/ Supermini, ano=1988, renavam=79937842936, placa=HVR-4752, cor=Cinza
marca=Citroen, modelo=AIRCROSS Live 1.6 Flex 16V 5p Aut., ano=2016, renavam=93419926186, placa=HVO-6806, cor=Amarelo
marca=Jaguar, modelo=XJ-8 Daimler, ano=1998, renavam=99346076551, placa=HVJ-3462, cor=Verde
marca=Daihatsu, modelo=Feroza DX 1.6 16V, ano=1994, renavam=67845966430, placa=HVM-3590, cor=Amarelo
marca=Seat, modelo=Cordoba SXE 1.8 / GLX 1.8 4p, ano=1995, renavam=25530453920, placa=HVK-5492, cor=Laranja
marca=Maserati, modelo=GranTurismo 4.2 V8 32V 405cv, ano=2008, renavam=60535251045, placa=HWU-4112, cor=Preto
